id,category_id,subcategory_id,name,slug,sku,description,category_slug,price,image,image_2,image_3,image_4,image_5,created_at,updated_at
"2,3,1,""4mm Coroplast"",""4mm-coroplast"",SKU-AYEF84OQ,Coroplast signs are durable and a great option for outdoor signage. 4mm signs are typically used as yard signs.,large-format,5.75,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"3,3,1,""6mm Coroplast"",""6mm-coroplast"",SKU-TMETPGR4,Coroplast signs are durable and a great option for outdoor signage. 6mm signs are typically used as outdoor signage,large-format,10,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"4,3,1,""8mm Coroplast"",""8mm-coroplast"",SKU-RBY6ANCN,""Coroplast signs are durable and a great option for outdoor signage. 8mm signs are thicker, more durable and are typically used as real estate “For sale” signs"",large-format,10.75,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"5,3,1,""10mm Coroplast"",""10mm-coroplast"",SKU-UJ9RLZK3,""Now you can print extra-thick corrugated plastic signs that are perfect for heavy duty outdoor use. They’re great for real estate signage, advertising, and more."",large-format,11.99,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"6,3,2,Floor Graphics,floor-graphics-1,SKU-KKEQVWYL,""Print vinyl floor graphics that are removable, safe, and long-lasting. Scratch-resistant and non-slip Adheres to floors, walls, windows, and more Made from semi-rigid vinyl with matte vinyl laminate "",large-format,23.25,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"7,3,2,Directional Floor Graphics,directional-floor-graphics,SKU-R8MFZHC0,""Directional floor graphics, great for business, has symbols arrows, and words!"",large-format,31,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"8,3,,Foam Board,foam-board,SKU-WIMBYTLJ,Foam board is a lightweight sign that is ideal for the indoors.,large-format,9.35,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"9,3,,Aluminum Signs,aluminum-signs,SKU-HLOJU20O,Print custom metal signage for the outdoors on this durable aluminum with a matte surface for reducing glare. Pre-painted bright white front and bare aluminum (mill finish) back Optional rounded corners for added safety Optional drill holes for easy installing,large-format,9.25,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"10,3,3,Matte Vinyl Banners,matte-banners,SKU-YMAUS4GC,""With a finish that softens strong glare, Matte Vinyl Banners are perfect under sunlight and bright lighting."",large-format,3.2,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"11,3,3,Glossy Vinyl Banners,glossy-banners,SKU-VIY70YXG,""Vinyl banners are a cost-effective, portable way of communicating your message in a big way. Glossy vinyl scrim banners have a shiny finish."",large-format,3.2,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"12,3,3,Mesh Banners,mesh-banners,SKU-NGBM38VO,""Mesh banners are great for outdoor use, even in areas that are windy or wet. Air passes through the mesh material easily so that your customers can communicate their message no matter the weather."",large-format,4.1,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"13,3,3,""13oz Matte Vinyl – Black Base Pull-up Banner"",""13oz-matte-vinyl–black-base-pull-up-banner"",SKU-WOC92QLW,Retractable banners help your customer display their message in high-traffic areas.,large-format,95.95,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"14,3,3,""13oz Matte Vinyl – Silver Base Pull-up Banner"",""13oz matte-vinyl – silver-base-pull-up-banner"",SKU-QX5Y5EZ3,Retractable banners help your customer display their message in high-traffic areas.,large-format,95.95,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"15,3,3,""13oz Matte Vinyl Prenium pull Up Banner"",""13oz-matte-vinyl-premium-pull-up-banner"",SKU-HHAZUCS2,remium pull up banners are the next level of luxury for your clients’ custom pull up banners. They add even more professionalism and stability so that your client’s message stands out from the rest.,large-format,135,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"16,3,3,Table Top 13oz Matte Vinyl Pull Up Banner,table-top-13oz-matte-vinyl-pull-up-banner,SKU-ANLTJBMQ,Each table top pull up banner is a smaller version of a retractable banner. They’re especially popular at trade shows and conventions where space is limited. These mini pull up banners are also easy to transport and set up.,large-format,42,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"17,3,3,Wide Premium 13oz Matte Vinyl Pull Up Banner,wide-premium-13oz-matte-vinyl-pull-up-banner,SKU-FP9XVNKT,Premium wide pull up banners are great for communicating a brand or message that needs some extra space. They’re also one of the best trade show banners for making a big impact.,large-format,205,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"18,3,3,Double Sded 13oz Matte Vinyl Pull Up Banner,double-sided-13oz-matte-vinyl-pull-up-banner,SKU-ZROJMHYL,Premium wide pull up banners are great for communicating a brand or message that needs some extra space. They’re also one of the best trade show banners for making a big impact.,large-format,205,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"19,3,,Car Magnets,Car-magnets,SKU-YFOGQ5WQ,""30 MIL thick magnet that can be placed on vehicle doors to add branding."",large-format,12.75,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"20,3,4,""6 ft Table Covers"",""6- ft-table-covers"",SKU-RIDEIINL,""100% polyester woven textile Machine washable and wrinkle resistant Closed back (4 sided cover) or open back (3 sided cover) "",large-format,175,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"21,3,4,""8 ft Table Covers"",""8-ft-table-covers"",SKU-5JGONMBV,""Print custom table covers for standard 8’ tables at trade shows, conventions, and other indoor events. 100% polyester woven textile Machine washable and wrinkle resistant Closed back (4 sided cover) or open back (3 sided cover) "",large-format,180,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"22,3,,Adhesive Vinyl,adhesive-vinyl,SKU-PILAZKQO,""A durable, outdoor-friendly material that is perfect for mounting on a range of subtrates and surfaces including painted dry wall. This product is used for point of purchase displays, trade show displays, hard-to-adhere substrates and permanent wall graphics."",large-format,24.99,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"23,3,,Window Perferated Vinyl,window-perferated-vinyl,SKU-IKVE2LPM,Transform store front windows with eye-catching images and advertising. The see-through material creates the illusion of an opaque design for passerbys without blocking light entering the store.,large-format,32.25,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"24,3,,Large Format Posters,large-format-posters,SKU-PH83R3WJ,These posters are printed on a semi-gloss card stock material.,large-format,16.5,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"25,3,,Styrene 20pt,styrene-20pt,SKU-YHIIBQKC,A light weight but durable pvc sheet,large-format,9.5,"""","""","""","""","""",""2024-09-16 15:57:34"",""2024-09-16 15:57:34"""
"26,3,5,Display Board 24pt,display-board-24-pt,SKU-NQI2ZBUI,""Printed on very thick semi-gloss card stock. Best suited for posters, signage and POP advertising"",large-format,9,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"27,3,5,Display Board 40pt,display-board-40-pt,SKU-IWFGETPY,""Printed on very thick semi-gloss card stock. Best suited for posters, signage and POP advertising."",large-format,10,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"28,3,6,Canvas Roll Large Format,canvas-roll-large-format,SKU-QWEL26HM,Canvas prints are typically used for photography and canvas art pieces. Our canvas prints on solvent ink printers and the canvas is acid free.,large-format,21,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"29,3,6,Stretched Canvas Large Format,stretched-canvas-large-format,SKU-3CMWRHE3,These ready-to-use custom canvas prints are stretched over 1.5” wooden frames made from high quality North American basswood.,large-format,23,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"30,3,,Sintra / PVC,sintra-pvc,SKU-AQDEA3YX,PVC (Sintra) is a lightweight but very durable material. It is a great choice for outdoor signage. Durable and dense yet light Suitable for both indoor and outdoor use Waterproof and easy to clean Low gloss surface to reduce glare,large-format,24,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"31,3,,A-Frame Signs,a-frame-signs,SKU-ZHE9XFEE,These signs are a portable and easy to use marketing tool that captures the attention of passing customers.,large-format,62,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"32,3,,Removable Wall Decals,removable-wall-decal,SKU-7FGUUKXI,""Custom removable wall decals are the perfect tools to help your clients redecorate without commitment. Flexible and suitable for most indoor walls, these decals can be used for wall graphics, murals, and more."",large-format,15,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"33,3,,A-fFrame Stands,a-frame-stands,SKU-W9PVF9S3,Signs are inserted into each side of these A frame stands to ensure that your promotion is visible from opposite directions.,large-format,33.55,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"34,3,,H-Stands For Signs,H-stands-for-signs,SKU-OZ3DQN3E,H stands are inserted into the vertical flutes of coroplast signs at one end and inserted into the yard at the other end. They ensure that your coroplast signs remain standing on the ground. They are 3.5 mm gauge.,large-format,16.45,"""","""","""","""","""",""2024-09-16 15:57:35"",""2024-09-16 15:57:35"""
"35,2,7,""10pt + Matte Finish Postcards"",""10pt-matte-finish-postacards"",SKU-XEK3FUYH,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Value postcards are more economical, but still a very powerful marketing tool."",Print-products,28,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"36,2,7,""14pt + Matte Finish Postcards"",""14pt-matte-finish-postacards"",SKU-8IFRJJ4G,Postcards are powerful marketing tools that are especially suitable as mailers. These 14 pt matte postcards offer a smooth finish and thicker stock.,Print-products,16,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"37,2,7,""16pt + Matte Finish Postcards"",""16pt-matte-finish-products"",SKU-7XFIZRPR,Postcards are powerful marketing tools that are especially suitable as mailers. These 16pt matte postcards offer a smooth finish and thicker stock.,Print-products,18,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"38,2,7,""14pt + UV postcards"",""14pt-uv-postcards"",SKU-D7AGBMII,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Postcards with UV coating offer a shiny, glossy look and feel."",Print-products,11.5,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"39,2,7,""16pt + UV Postcards"",""16pt-uv-postcards"",SKU-C7MZ1CSM,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. These postcards have a high gloss coating and are a good option for those seeking thicker cards."",Print-products,11.5,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"40,2,7,""18pt-Gloss Lamination Postcards"",""18pt-gloss-lamination-postcards"",SKU-I5H0EGHS,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Postcards with a glossy and shiny lamination. They offer better durability."",Print-products,42.5,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"41,2,7,""18pt Matte / Silk Lamination Postcards"",""18pt-matte-silk-lamination-postcards"",SKU-TSD4VZZQ,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Postcards with a silky lamination. They offer better durability and elegance."",Print-products,42.5,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"42,2,7,""10pt AQ Postcards"",""10pt-aq-postcards"",SKU-GTFUHFEW,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Value postcards are more economical, but still a very powerful marketing tool."",Print-products,30,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"43,2,7,""14pt AQ Postcards"",""14pt-aq-postcards"",SKU-3JIB14L4,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Value postcards are more economical, but still a very powerful marketing tool."",Print-products,16.75,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"44,2,7,""16pt AQ Postcards"",""16pt-aq-postcards"",SKU-GXYREEAM,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. These semi-gloss postcards are a good option for those seeking thicker cards."",Print-products,16.75,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"45,2,7,""13pt Enviro Uncoated Postcard"",""13pt-enviro-uncoated-postcards"",SKU-LDWPHLFN,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. These postcards contain 30% post consumer recycled material, making them a more environmentally friendly option."",Print-products,18.75,"""","""","""","""","""",""2024-09-16 15:57:36"",""2024-09-16 15:57:36"""
"46,2,7,""13pt Linen Uncoated Postcards"",""13pt-linen-uncoated-postcards"",SKU-BUEKOEWZ,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. Linen postcards offer a premium look and a distinctive feel that stand out."",Print-products,55.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"47,2,7,""14pt Writable + AQ Postcards"",""14pt-writable-aq-postcards"",SKU-ABZLCLC2,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. These postcards combine a glossy and shiny coated side with an uncoated, writable side."",Print-products,32.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"48,2,7,""14pt Writable + UV"",""14pt-writable-uv-postcards"",SKU-KFRDZYHA,""Postcards are a powerful and cost-effective marketing tool, particularly useful as a mailer. These postcards combine a glossy and shiny coated side with an uncoated, writable side."",Print-products,27.65,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"49,2,8,Metallic Foil Postcards,Metallic-foil-postcards,SKU-R3XC8VY0,Raised foil postcards stand out with their silver or gold custom foil printing. Our wholesale foil printing produces a premium look popular for invitations cards and certificates,Print-products,85,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"50,2,8,Spot UV Postcards,Spot-uv-postcards,SKU-LVN3GTHH,Print laminated postcards with raised spot gloss for a premium marketing tool. Silky matte lamination Slightly raised clear UV gloss Lamination provides a protective layer for cards Perfect for adding tactile elements to print ,Print-products,175,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"51,2,8,Kraft Paper Postcards,Kraft-paper-postcards,SKU-REXKIMUW,Kraft paper postcard printing on 100% recycled kraft cardstock produces an eco-friendly postcard with natural fibers. Custom printed kraft postcards have a handmade look that is becoming an increasingly popular printing trend. Please note we do not print white inks on kraft stock (only CMYK inks will be printed). Not recommended for full color photos/images as they will become darker due to the darker color of the paper. This is better suited for high contrast designs with fewer colors.,Print-products,26.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"52,2,8,Pearl Paper Postcards,Pearl-paper-postcards,SKU-JJKYESZD,""Pearl paper stock has a smooth, metallic shine due to the iridescent fibers infused into the pearl paper. Often referred to as pearl shimmer paper, this stock has a unique aesthetic appeal along with its distinct texture."",Print-products,65.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"53,2,8,Durable Postcards,Durable-postcards,SKU-VT3CSSC9,""Waterproof postcards made from this premium synthetic paper retain ink rain or shine. Non-toxic, tear-resistant and 100% recyclable, these durable postcards are sure to differentiate you from your competitors."",Print-products,85.85,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"54,2,9,""100lb Gloss Text Flyer"",""100lb-gloss-text-flyer"",SKU-8FZZ2FBO,Flyers are great marketing tools that can be used to promote products and services. These flyers have a semi-gloss appearance and are the most popular.,Print-products,21,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"55,2,9,""100lb Matte Finish Flyers"",""100lb-matte-finish-flyers"",SKU-QG9LJJXF,""Flyers are great marketing tools that can be used to promote products and services. These flyers use our regular semi-gloss stock but do not have any additional gloss coating applied, resulting in a standard matte finish."",Print-products,26.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"56,2,9,""100lb UV High Gloss Flyers"",""100lb-uv-high-gloss-flyers"",SKU-4AAI94ZA,Flyers are great marketing tools that can be used to promote products and services. These flyers offer a glossy and shiny look easily catch the eye.,Print-products,28.5,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"57,2,9,""80lb Enviro Uncoated flyers"",""80lb-enviro-uncoated-flyers"",SKU-PGD2MWEM,""Flyers are great marketing tools that can be used to promote products and services. These flyers contain 100% post consumer recycled material, making them a more environmentally friendly option."",Print-products,25,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"58,2,9,""70lb Linnen uncoated Flyers"",""80lb-linnen-uncoated flyers"",SKU-2E20DKR9,Flyers are great marketing tools that can be used to promote products and services. These uncoated flyers offer a premium look and a distinctive feel that stand out.,Print-products,42,"""","""","""","""","""",""2024-09-16 15:57:37"",""2024-09-16 15:57:37"""
"59,2,10,""100lb Gloss Text Brochures"",""100lb-gloss-text-brochures"",SKU-WVIJKFM5,""Brochures are flyers that are folded. Brochures are compact, allowing you to include more information. These brochures have a semi-gloss look and they are the most popular."",Print-products,48.75,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"60,2,10,""100lb Matte Finish Brochures"",""100lb-matte-finish-brochures"",SKU-7IARERMB,""Brochures are flyers that are folded. Brochures are compact, allowing you to include more information. These brochures offer a silky, smooth and elegant finish."",Print-products,36.35,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"61,2,10,""100lb UV High Gloss Brochures"",""100lb-uv-high-gloss-brochures"",SKU-Y3NURFCW,""Brochures are flyers that are folded. Brochures are compact, allowing you to include more information. These brochures offer a glossy and shiny look that easily grabs attention."",Print-products,66.5,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"62,2,10,""80lb Enviro Uncoated Brochures"",""80lb-enviro-uncoated-brochures"",SKU-KXXGGSWP,""Brochures are flyers that are folded. Brochures are compact, allowing you to include more information. These brochures contain 30% post consumer recycled material, making them a more environmentally friendly option."",Print-products,51,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"63,2,11,""10 pt + Matte Finish Bookmarks"",""10pt-matte-finish-bookmarks"",SKU-NNTKOJCW,Our high quality bookmarks can be used to mark your place in a book.,Print-products,32.25,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"64,2,11,""14pt + Matte Finish bookmarks"",""14pt-matte-finish-bookmarks"",SKU-3HXMFQMM,Our high quality bookmarks can be used to mark your place in a book.,Print-products,22.5,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"65,2,11,""16pt + Matte Finish Bookmark"",""16pt-matte-finish-bookmarks"",SKU-GPZN69S9,Our high quality bookmarks can be used to mark your place in a book.,Print-products,32.25,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"66,2,11,""14pt + UV Bookmarks (High Gloss)"",""14pt-uv-bookmarks"",SKU-GKYY5HWO,Our high quality bookmarks can be used to mark your place in a book.,Print-products,22.5,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"67,2,11,""16pt + UV Bookmarks (High Gloss)"",""16pt-uv-bookmarks"",SKU-HLP92OXG,Our high quality bookmarks can be used to mark your place in a book.,Print-products,22.5,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"68,2,11,""18pt Matte with Silk Lamination Bookmarks"",""18pt-matte-silk-lamiation-bookmarks"",SKU-RVL8C3DN,Our high quality bookmarks can be used to mark your place in a book.,Print-products,40,"""","""","""","""","""",""2024-09-16 15:57:38"",""2024-09-16 15:57:38"""
"69,2,11,""18pt Gloss Lamination Bookmarks"",""18pt-gloss-lamiation- Bookmarks"",SKU-KQTB0JW0,Our high quality bookmarks can be used to mark your place in a book.,Print-products,40,"""","""","""","""","""",""2024-09-16 15:57:39"",""2024-09-16 15:57:39"""
"70,2,11,""13pt Enviro Uncoated Bookmarks"",""13pt-enviro-uncoated-bookmaks"",SKU-JXQZRRNU,Our high quality bookmarks can be used to mark your place in a book.,Print-products,26,"""","""","""","""","""",""2024-09-16 15:57:39"",""2024-09-16 15:57:39"""
